TripDetails|bookingStatus|bookingStatusId,tripServiceBookingStatusId,IncludedWhenCalculatingCost
TripDetails|GetNumberOfHotelRooms|
TripDetails|ItineraryQuote|ItineraryId,NumberOfPeople
TripDetails|ItineraryService_AllDetails_WithBookingInfo|globalServiceName,ItineraryServiceId,ServiceId,CustomServiceName,ProviderServiceId,GlobalServiceId,Cost,ConvertedCost,Cost_CurrencyId,ConvertedCost_CurrencyId,Day,ItineraryId,bookingstatusid,actualCost_currencyId,actualCost,itineraryservice2bookingid,VendorId,DefaultQuotedGroupAllocation,QuotedGroupAllocation,clientnotes,driverid,actualConvertedCost,actualConvertedCost_CurrencyId
GlobalTransportCategoryVendor_|Air2Vendor|AirId,VendorId
GlobalTransportCategoryVendor_|GlobalTransportCategory|gTransportId,gTransportCategoryId,Deleted
GlobalTransportOptionCategory_|AirAlternates|AirAlternatesId,Deleted
GlobalTransportOptionCategory_|AirAlternates2TransportCategory|AirAlternates2TransportCategoryId,AirAlternatesId,TransportCategoryId
GlobalTransportOptionCategory_|TransportCategory|TransportCategoryId,Name,Deleted
SupplierPaidTotals_Cost|ItineraryTrip_RevenueSummary|
SupplierPaidTotals_Cost|TripDetails|
SupplierPaidTotals_Cost|vendorPayments|
SupplierPaidTotals_Cost|vwSumSupplierPaymentDetails|
bi_vw_DynamicHotelArbitrageFeeTrip|AdxHotelFilter|AdxHotelFilterId,ProviderId
bi_vw_DynamicHotelArbitrageFeeTrip|Currency|CurrencyId,Symbol
bi_vw_DynamicHotelArbitrageFeeTrip|fn_ConvertCurrencyByDate|
bi_vw_DynamicHotelArbitrageFeeTrip|ItineraryDay|ItineraryDayId,ItineraryId
bi_vw_DynamicHotelArbitrageFeeTrip|ItineraryService|ItineraryServiceId,ItineraryDayId,CustomServiceName,VendorId,Deleted
bi_vw_DynamicHotelArbitrageFeeTrip|ItineraryService2AdxHotelFilter|ItineraryServiceId,AdxHotelFilterId,ArbitrageFee,ArbitrageCurrency,ArbitrageDate
bi_vw_DynamicHotelArbitrageFeeTrip|ItineraryService2Booking|ItineraryServiceId,BookingStatusId
bi_vw_DynamicHotelArbitrageFeeTrip|ItineraryTrip|ItineraryId,ItineraryReference
bi_vw_DynamicHotelArbitrageFeeTrip|TeHotelProvider|HotelSearchProviderId
bi_vw_DynamicHotelArbitrageFeeTrip|Trip|TripId,TripReference,BookedDate,TripStartDate
bi_vw_DynamicHotelArbitrageFeeTrip|Vendor|vendorId,ParentId
GlobalTransportOption_|Air|AirId,Deleted
GlobalTransportOption_|AirAlternates|AirAlternatesId,AirId,DepartTime,Duration,FlightNumber,StopOver
SupplierPaidTotals_ConvertedCost|ItineraryTrip_RevenueSummary|
SupplierPaidTotals_ConvertedCost|TripDetails|
SupplierPaidTotals_ConvertedCost|vendorPayments|
SupplierPaidTotals_ConvertedCost|vwSumSupplierPaymentDetails|
HotelRoomCategory_MaxSeasonEndDate_OLD|Hotel|HotelId,Deleted,IsDescriptionOnly
HotelRoomCategory_MaxSeasonEndDate_OLD|HotelRates|HotelId,HotelRoomCategoryId,Deleted
HotelRoomCategory_MaxSeasonEndDate_OLD|HotelRoomCategory|HotelRoomCategoryId,HotelId,Deleted
HotelRoomCategory_MaxSeasonEndDate_OLD|HotelSeasonDates|HotelId,SeasonEndDate,Deleted
Trip_TravelerRevenueSummaryByProduct|traveler|travelerId,tripId,TripPrice_CurrencyId,clientid
Trip_TravelerRevenueSummaryByProduct|TravelerInvoices|TravelerId,InvoiceTypeId,BilledDate,DueDate,Amount,CurrencyId,AmountUSD,ProductId,InvoiceExpiration
Trip_TravelerRevenueSummaryByProduct|TravelerInvoiceType|InvoiceTypeId,ParentInvoiceTypeId
